Network,FamilyName,Alias,FamilyRoleOrder,Instance,Obj,Vice,Color,Theme,HQ,FamilyRole,BattlePerk,BattleQuirk,AttackType,Weapon,AttackName,FirstName,LastName,Age,AgeOriginal,JobVenue,JobVenueArea,JobVenueRegion,Race,Residence,SubResidence,Height,Weight,Feet,Band,Role,Occupation,HiddenRole,Archetype,BestPref1,BestPref2,BestPref3,FearType1,FearType2,FearType3,PartnerAlias,PartnerType,PartnerOccupation,PartnerJobLevel
Eloquence,Milo,Tony M,1,1,Asc_Tony_M,Envy,Blue,Changed Destiny,Lewor College,sibling,Charismatic,Unsung,Anti-Aerial,Vintage Atomizer,Secondhand Time,Tony,Marzo,40,40,Lush,Lexena Market,N District,Latino,N District,House_NDistrict_Tony_M,67,160,10,7.25,Lexena Merchant,Wellness Retail Associate,Wellness Oracle,Smile Apothecary,LowProfile,PlansAhead,WatchesListens,LossStatus,BeingCaught,Health,Dakota Q,Girlfriend,Clothes Shop Merchant,4
Eloquence,Milo,Justin S,1,2,Asc_Justin_S,Envy,Blue,Changed Destiny,Lewor College,sibling,Charismatic,Exhausted,Anti-Aerial,Ceramic Sashimi Knife,Service Window Snare,Justin,Sane,32,32,University Cafeteria,Lewor College,Central District,White,NE District,House_NEDistrict_Justin_S,68.5,200.5,10.5,7.25,Lewor Staff,Lewor Dining Ops Lead,Poison Taster,Culinary Alchemist,PrivateBubble,LaserFocus,SoloRecharge,LossStatus,Failure,Control,Sasha T,ExWife,Hairdresser,3
Eloquence,Milo,Rodnar R,1,3,Asc_Rodnar_R,Envy,Blue,Changed Destiny,Lewor College,sibling,Charismatic,Enigmatic,Charge,Armored Briefcase,Motion Carried,Rodnar,Rokwud,48,48,University Principal Office,Lewor College,Central District,White,NE District,House_NEDistrict_Rodnar_R,74,200,11,7,Lewor Admin,Lewor Principal,Gatekeeper,Bureaucratic Sovereign,InControl,OpenPresence,SmoothTalker,LossStatus,Failure,Control,Luna L,Wife,Senior Administrator,7
Eloquence,Milo,John P,1,4,Asc_John_P,Envy,Blue,Changed Destiny,Lewor College,sibling,Charismatic,Constrained,Aerial,Heavy Encyclopedia,Overdue Drop,John,Price,29,29,University Library,Lewor College,Central District,White,NE District,House_NEDistrict_John_P,70,171,10.25,8.25,Lewor Admin,Lewor Librarian,Archivist,Steward of the Stacks,LowProfile,LaserFocus,PlansAhead,LossStatus,Phobia,Failure,Veronica L,Wife,Manager,6
Eloquence,Milo,Karter H,1,5,Asc_Karter_H,Envy,Blue,Changed Destiny,Lewor College,sibling,Charismatic+,Obligated,Low,Weighted Class Ring,Handshake Tax,Karter,Hoff,24,35,Fraternity House,Fraternity House,Central District,White,Fraternity House,House_FraternityHouse_Karter_H,71,200,11,6.5,Lewor Frat Member,APT Fraternity President,Unchosen,Fraternity Statesman,SoloRecharge,PrivateBubble,ChillVibes,Failure,Financial,LossStatus,Katee V,Girlfriend,Student,1
Eloquence,Milo,Peter G,1,6,Asc_Peter_G,Envy,Blue,Changed Destiny,Lewor College,sibling,Charismatic,Apathetic,Aerial,Gravity Shoes,Heel of Gravity,Peter,Green,27,27,Parkour Class,Lewor College,Central District,Latino,NE District,House_NEDistrict_Peter_G,66,187,8,6.5,Lewor Faculty,Parkour Coach,Grounding Rod,Route Compass,ChallengeMode,InControl,LaserFocus,Judged,LossFreedom,Health,Chloe T,Uncommitted,Hairdresser,3
Eloquence,Milo,Joe B,1,7,Asc_Joe_B,Envy,Blue,Changed Destiny,Lewor College,sibling,Charismatic,__NULL__,Charge,Football Shoulder Pad,Shoulder Pad Stampede,Joe,Bonez,22,22,Football Class,Lewor College,Central District,White,NE District,House_NEDistrict_Joe_B,76,270,11.25,9,Lewor Faculty,Football Coach,Gentle Giant,Big-Hearted Coach,LowProfile,WatchesListens,PlansAhead,LossIdentity,Failure,LossStatus,Riley J,Wife,Pharmacy Market Merchant,4
Eloquence,Milo,Xano D,1,8,Asc_Xano_D,Envy,Blue,Changed Destiny,Lewor College,sibling,Charismatic,Defiant,Low,Whistle,One-Whistle Drop,Xano,Dee,31,31,Wrestling Class,Lewor College,Central District,Latino,NE District,House_NEDistrict_Xano_D,68,187,10.5,7,Lewor Faculty,Wrestling Coach,Purist Berserker,Mat Mentor,CrowdEnergy,NewExperiences,HighIntensity,Judged,Failure,LossStatus,Mackenzie M,Fiance,Personal Trainer,5
Cunning,Kevin,Quinton J,2,1,Asc_Quinton_J,Sloth,Yellow,Corporate Mismanagement,Sales Global Protection,dad,Resourceful,Unsung,Low,Gentleman's Cane,Gentleman's Sweep,Quinton,James,32,32,Pharmacy Market,Lexena Market,N District,White,N District,House_NDistrict_Quinton_J,72,185,11,7.5,Lexena Merchant,Pharmacy Market Retailer,Recall Dispenser,Clinical Anchor,ClearHead,PlansAhead,LaserFocus,Mistake,Mistake,LossSafety,Willow R,Wife,Yoga Instructor,5
Cunning,Kevin,Milan P,2,2,Asc_Milan_P,Sloth,Yellow,Corporate Mismanagement,Sales Global Protection,dad,Resourceful,Exhausted,Aerial,Culinary Blowtorch,Searing Drop,Milan,Ponjevic,35,35,Lexena Restaurant,Lexena Market,N District,White,SW District,House_SWDistrict_Milan_P,72,167,11.5,8,Lexena Merchant,Chef,Back-of-House Ghost,Unseen Host,LaserFocus,InControl,HighIntensity,Failure,Failure,LossHome,Chloe T,Uncommitted,Hairdresser,3
