Network,FamilyName,Alias,FamilyRoleOrder,Instance,LinkNo,LinkNetwork,LinkAlias,LinkDesc
Eloquence,Milo,Tony M,1,1,1,Eloquence,Justin S,Volunteer flyers and event sign-ups start at Tony’s counter; Tony keeps Justin’s plans grounded with real crowd flow.
Eloquence,Milo,Tony M,1,1,2,Eloquence,Rodnar R,"The paperwork gate and the people gate: Rodnar handles approvals; Tony handles trust. They argue, then solve it anyway."
Eloquence,Milo,Tony M,1,1,3,Eloquence,John P,"Quiet booth, quiet questions. John cross-checks details; Tony remembers faces and patterns."
Eloquence,Milo,Tony M,1,1,4,Eloquence,Karter H,"Frat manpower helps when it matters; Tony doesn’t tolerate entitlement, so Karter learns to show up first and negotiate second."
Eloquence,Milo,Tony M,1,1,5,Eloquence,Peter G,A repeat customer who listens more than he talks; Peter becomes Tony’s go-to for quick errands and late-night checks.
Eloquence,Milo,Tony M,1,1,6,Eloquence,Joe B,Joe knows the regulars and the troublemakers; Tony trusts him to spot a problem before it becomes a scene.
Eloquence,Milo,Tony M,1,1,7,Eloquence,Xano D,Same ‘earned it the hard way’ energy. Xano and Tony keep each other honest without ever getting sentimental about it.
Eloquence,Milo,Tony M,1,1,8,Transcendence,Benedict C,Father Ben helps without asking for credit; Tony feeds the helpers and makes sure Ben gets home safe after long nights.
Eloquence,Milo,Tony M,1,1,9,Cunning,Quinton J,They share a dry humor that shows up in short lines and longer pauses.
Eloquence,Milo,Tony M,1,1,10,Prominence,Ryan D,"Tony and Ryan keep it light: quick banter, mutual respect, and no pressure to perform."
Eloquence,Milo,Justin S,1,2,1,Eloquence,Peter G,Council momentum: Justin handles the moving parts while Milo carries the title. They keep each other from getting trapped by optics.
Eloquence,Milo,Justin S,1,2,2,Eloquence,Joe B,A sharp rivalry disguised as procedure. Justin learns to read what Nade wants without ever saying it out loud.
Eloquence,Milo,Justin S,1,2,3,Eloquence,John P,Justin brings questions; John brings receipts. Together they turn rumor into something actionable.
Eloquence,Milo,Justin S,1,2,4,Eloquence,Rodnar R,"Rodnar approves or blocks the build phases; Justin learns the art of asking the right way, at the right time."
Eloquence,Milo,Justin S,1,2,5,Eloquence,Karter H,Karter can summon bodies and muscle; Justin can summon purpose. Their alliance works when they respect each other’s lanes.
Eloquence,Milo,Justin S,1,2,6,Eloquence,Tony M,"Coffee, flyers, and a calm place to coordinate. Tony’s counter is Justin’s unofficial command post."
Eloquence,Milo,Justin S,1,2,7,Eloquence,Xano D,Xano doesn’t care about speeches—he cares about follow-through. Justin earns his support by showing up.
Eloquence,Milo,Justin S,1,2,8,Transcendence,Benedict C,Father Ben keeps volunteers steady when nerves spike. Justin trusts Ben with the human side of chaos.
Eloquence,Milo,Justin S,1,2,9,Glamour,London F,"Justin and London keep it light: quick banter, mutual respect, and no pressure to perform."
Eloquence,Milo,Justin S,1,2,10,Cunning,Milan P,Justin likes how Milan stays steady. It makes the time together feel simpler.
Eloquence,Milo,Rodnar R,1,3,1,Eloquence,John P,A lock-and-key partnership: Rodnar controls access; John controls memory. They protect each other’s blind spots.
Eloquence,Milo,Rodnar R,1,3,2,Eloquence,Karter H,Frat chaos meets administrative gravity. Rodnar keeps Karter from turning problems into scandals.
Eloquence,Milo,Rodnar R,1,3,3,Eloquence,Justin S,"Forms, permits, and approvals—Justin brings the plan, Rodnar tests whether it survives reality."
Eloquence,Milo,Rodnar R,1,3,4,Eloquence,Tony M,Rodnar’s partner is a regular at Tony’s place; that simple habit becomes an unexpected trust bridge.
